url,Course Title,Course Headline,Instructor,off_price,orig_price,Rating,Number of Ratings,Course Length,Number of Lectures,Difficulity,Subscribers
https://www.udemy.com/course/learn-isis-for-ipv4-and-ipv6/,Learn ISIS for IPv4 and  IPv6,from Basic to Advance level.,sikandar Shaik,19.99,,4.6,326,3,11,All Levels,17429 
https://www.udemy.com/course/ultimate-terraform-course-for-devops-beginner-to-advanced/,Ultimate Terraform course for DevOps : Beginner to advanced,"Learn Terraform for building, changing, and versioning infrastructure.Advance your career in cloud.Covers AWS provider.",Krishna Dash,14.99,29.99,4.4,326,7.5,45,All Levels,2524 
https://www.udemy.com/course/intro-to-autohotkey/,Intro to AutoHotkey / How to hack your Windows PC with AHK,Take your first step in learning how to easily Automate your Windows PC with AutoHotkey!  Desktop Automation,Joe Glines,14.99,34.99,4.6,325,5.5,39,Beginner,3473 
https://www.udemy.com/course/aws-cloudformation/,AWS CloudFormation - Introduction Course,This is an Introductory course for AWS CloudFormation,Fernando Hönig,14.99,74.99,4.2,325,1.5,10,Beginner,1975 
https://www.udemy.com/course/create-chatbots-with-dialogflow/,Learn to build chatbots with Dialogflow,A bite sized crash course on how to create intelligent chatbots using Dialogflow,Edward Leoni,14.99,89.99,3.9,325,1.5,16,All Levels,19323 
https://www.udemy.com/course/navinreddy-django-basic-tutorial/,Django Basic Tutorial,"In this video we will see: What is Framewor, Why to use Django Framework Static and dynamic website",Navin Reddy,14.99,19.99,4.5,324,3,25,Beginner,27763 
https://www.udemy.com/course/the-ultimate-azure-api-management-course/,The Ultimate Azure API Management Course,Hands On! Step-by-Step guide to learn Azure Serverless API Management,Hussein Awad | Azure | AWS Certified Architect Professional,14.99,49.99,4.3,321,2.5,23,All Levels,1717 
https://www.udemy.com/course/it-fundamentals-everything-you-need-to-know-about-it/,IT Fundamentals - Everything you need to know about IT,Computer Skills -- Great help for passing CompTIA A+ (220-1001) and ITF+ (FCO-U61),"Imran Afzal (300,000+ students)",14.99,89.99,4.6,322,10.5,145,All Levels,12741 
https://www.udemy.com/course/the-new-ccna-exam-v10-200-301-by-hexa-ccie-khawar-butt/,The New CCNA Exam v1.0 (200-301) By Hexa CCIE Khawar Butt,"Covers 2019  newly added technologies like DMVPN, Wireless Technologies, IPSec , IPv6 by Hexa CCIE Mr Khawar Butt",Khawar Butt,14.99,89.99,4.7,323,51,119,Beginner,1909 
https://www.udemy.com/course/complete-ethical-hacking-course-learn-hacking-practically/,Ethical Hacking Crash Course 2020,Learn and understand ethical hacking from scratch. Get your ethical hacking certificate.,Pronoy Kumar,14.99,89.99,2.6,323,42 total min,5,All Levels,20319 
https://www.udemy.com/course/oracle-11g-certified-professional-exam-prep-i/,Oracle 11g Certified Professional Exam Prep I,"Part 1 of a 3 part series. A clear, concise and expert guide to achieving certification for Oracle Database.",Dave Haas,14.99,74.99,4.9,322,11,125,Beginner,1911 
https://www.udemy.com/course/mastering-the-rs485-serial-communication-standard/,Everything You Need To Know About RS485,"Learn how to Build, Maintain and Troubleshoot RS485 communication networks",Emile Ackbarali,14.99,19.99,4.6,321,2,41,Intermediate,1091 
https://www.udemy.com/course/become-a-blockchain-expert-course-i-beginner-level/,Become a Blockchain Expert (BE I) | Bitcoin & Cryptocurrency,"Learn Blockchain, Cryptocurrency, Bitcoin, Mining, Altcoin, Wallet, Exchange from the Best Course for Crypto Beginners",Cem Goksel Ozargun,14.99,89.99,4.9,321,7.5,57,Beginner,1794 
https://www.udemy.com/course/oracle-goldengate-beginner-to-expert/,Oracle GoldenGate Beginner to Expert,Oracle GoldenGate,Shrikanth Krishnamoorthy,14.99,19.99,4.6,320,40.5,38,All Levels,1778 
